Designator,Mid X,Mid Y,Rotation,Layer
C1,165.55,-83.0,0.0,top
C10,164.0,-102.2,90.0,top
C11,161.5,-102.2,90.0,top
C12,160.5,-88.0,180.0,top
C13,160.5,-90.25,180.0,top
C14,161.5,-95.5,270.0,top
C15,164.0,-95.5,270.0,top
C16,166.5,-95.5,270.0,top
C17,160.5,-83.5,180.0,top
C18,160.5,-85.75,180.0,top
C19,165.5,-85.5,0.0,top
C2,149.34,-96.89,270.0,top
C3,149.88,-92.73,90.0,top
C4,149.72,-104.34,90.0,top
C5,149.85,-100.48,90.0,top
C6,163.825,-90.25,270.0,top
C7,166.5,-102.25,90.0,top
C8,166.325,-90.25,270.0,top
C9,147.17,-92.17,90.0,top
D1,111.0,-88.25,90.0,top
Q1,113.5,-88.645,270.0,top
Q2,112.75,-91.25,180.0,top
R1,154.5,-88.75,270.0,top
R2,116.0,-91.25,0.0,top
R3,125.8,-94.5125,90.0,top
R4,112.0,-85.5,180.0,top
R6,124.0,-85.3,270.0,top
U2,155.6,-102.95,180.0,top
